Skroda,Przewoźniki,224
Dzierzgoń,Bągart,694
Stobnica,Godowa,566
Jez. Drużno,Żukowo,561
Wisła,Gdańska Głowa,531
Zalew Wiślany,Nowe Batorowo,535
Wisła,Ujście Wisły,524
Wisła,Przegalina,529
Elbląg,Elbląg,532
Wisła,Świbno,525
Regalica,Regalica Szczecin,535
Wieprza,Darłowo,509
Bałtyk,Władysławowo,515
Szkarpawa,Tujsk,527
Odra,Widuchowa,553
Bałtyk,Ustka,512
Zalew Wiślany,Tolkmicko,522
Bałtyk,Hel,515
Odra,Gryfino,537
-,Gdańsk,515
Bielawa,Suchy Dąb,543
Sidra,Harasimowicze,511
Bałtyk,Łeba,511
Martwa Wisła,Sobieszewo,518
Odra,Szczecin,527
Zalew Wiślany,Osłonka,524
Bałtyk,Gdynia,512
Nogat,Dolna Kępa,521
Bałtyk,Kołobrzeg,509
Święta,Nowy Dwór Gdański,530
Zatoka Pucka,Puck,511
Zatoka Pomorska (ujście Świny),Świnoujście,515
Dziwna,Dziwnów,515
Zalew Szczeciński,Trzebież,526
Dziwna,Wolin,519
Zalew Wiślany,Nowa Pasłęka,
Jez. Łebsko,Izbica,516
Motława,Wiślina,499
Jez. Drwęckie,Ostróda,444
Jez. Pierzchalskie; Pasłęka,Pierzchały,313
Jez. Raduńskie Górne,Borucino,493
Wąska,Pasłęk,420
Warta,Działoszyn,411
Odra,Opole - Groszowice,487
Żylica,Łodygowice,386
Szkwa,Szkwa,352
Ełk (Kanał Rudzki),Osowiec 2,366
Narew,Babino,375
Zb Siemianówka,Bondary - Siemianówka,321
Narew,Ploski,227
Kwisa,Mirsk,348
Rega,Resko,299
Odra,Trestno,335
Wieprz,Trawniki,310
Warta,Skwierzyna,144
Wisła,Tczew,273
Czarny,Polana,297
jez. Błędno,Zbąszyń,269
Kanał Raduni,Pruszcz Gdański_kanał,226
Kanał Ślesiński,Konin-Morzysław,316
Wisła,Modlin,227
Wisła,Wyszogród,264
Wisła,Wychódźc,249
Szreniawa,Biskupice,296
Odra,Koźle,297
Łagowica,Mocha,273
Drama,Pyskowice Dzierżno,308
Kłodnica,Pyskowice Dzierżno,310
Wetlina,Kalnica,261
Tyśmienica,Tchórzew,275
Bug,Strzyżów,261
Jez. Pierzchalskie; Pasłęka,Pierzchały,282
Ruda,Rybnik Gotartowice,292
Wisłoka,Krempna-Kotań,267
Wieprz,Krasnystaw,263
Wissa,Czachy,266
Noteć,Nakło-Zachód,301
Ślina,Zawady,249
Warta,Sławsk,280
Odra,Gozdowice,186
Warta,Świerkocin,199
Odra,Ujście Nysy Kłodzkiej,375
Luciąża,Kłudzice,260
Odra,Bielinek,240
Warta,Santok 2,204
Czarna,Januszewice,253
Biała,Zawady,213
Soła,Oświęcim,290
Rudawa,Balice,244
Wisłoka,Łabuzie,231
Bóbr,Stary Raduszec,224
Bug,Zabuże,222
Rawka,Kęszyce,247
Czarna,Dąbrowa,234
Łomnica,Łomnica,265
Biebrza,Osowiec,283
Parsęta,Bardy,192
San,Radomysl,194
Ścinawa Niemodlińska,Niemodlin,354
Zb. Dębe,Popowo,221
Wisła,Jawiszowice,361
San,Rzuchów,192
Mroga,Bielawy,252
Bóbr,Żagań,223
Raba,Dobczyce,219
Warta,Gorzów Wielkopolski,179
Wisła,Zawichost,210
Dunajec,Sromowce Wyżne,204
Kamienna,Nietulisko Duże,227
Wisłok,Krosno,167
Wapienica,Podkępie,252
Nereśl,Kulesze Chobotki,213
Wisła,Chełmno,162
Wisła,Pustynia,229
Widawa,Zbytowa,332
Zb Siemianówka,Bondary - Siemianówka,251
Miedzianka,Turoszów,265
Wisła,Annopol,196
Białka,Trybsz 2,245
Pisa,Pisz,181
Zb. Gopło,Popowo,197
Wierna Rzeka,Bocheniec,228
Raba,Proszówki,219
Biała,Grybów,249
Morwawa,Iskrzynia,199
Gwda,Ptusza,235
Węgorapa,Mieduniszki,172
Klikawa,Kudowa Zdrój-Zakrze,0
Jez. Wadąg,Szypry,206
Wisła,Grudziądz,167
Pilica,Przedbórz,202
Pszczynka,Pszczyna,221
Węgorapa,Węgorzewo,240
Warta,Pyzdry,218
Brda,Smukała,188
Noteć,Czarnków,208
Jez.Rajgrodzkie,Rajgród 2,212
Łęg,Grębów,209
Warta,Koło,240
Noteć,Białośliwie,237
Ełk (Kanał.Rudzki),Przechody,268
Łubinka,Nowy Sącz 1,202
Noteć,Ujście,183
Bug,Wyszków,180
Soła,Żywiec,222
Soła,Rajcza,207
Noteć,Gościmiec,150
Narew,Wizna,218
Wisła,Kępa Polska,171
Krzna,Malowa Góra,214
Warta,Kostrzyn n. Odrą,142
Biebrza,Dębowo,267
Wieprza,Stary Kraków,186
Krzczonówka,Krzczonów,155
Wisłok,Tryńcza,170
Wieprz,Lubartów,197
Noteć,Pakość,188
Dunajec,Krościenko,176
Węgorapa,Prynowo,232
Biała Przemsza,Niwka,188
Odra,Oława,164
Wkra,Trzciniec,166
Odra,Głogów,332
Iłownica,Czechowice Dziedzice,218
Warta,Śrem,181
Soła,Czaniec (Kobiernice),254
Wierzyca,Brody Pomorskie,166
Budzówka,Kamieniec Ząbkowicki,207
Wisła,Warszawa - Nadwilanówka,72
Bobrza,Slowik,209
Dunajec,Żabno,163
San,Lesko,163
Gołdapa,Banie Mazurskie,169
Biała,Ciężkowice,176
Odra,Kostrzyn n. Odrą,120
Brzozówka,Karpowicze,206
Wisła,Fordon,124
Warta,Nowa Wieś Podgórna,190
Nida,Pinczów,179
Warta,Sieradz,166
Polska Woda,Bogdaj,299
Warta,Oborniki,177
Rega,Trzebiatów,147
Odra,Malczyce,284
Wisłok,Żarnowa,133
Wisłoka,Mielec 2,172
Wisła,Toruń,116
Wieprz,Kośmin,172
Ślęza,Ślęza,280
Osobłoga,Racławice Śląskie,211
Tanew,Osuchy,159
Pasłęka,Łozy,211
Wisła,Zabrzeg,219
Wołosaty,Stuposiany,160
Białka,Łysa Polana,181
Pasłęka,Tomaryny,181
Huczwa,Gozdów,167
San,Przemyśl,79
Utrata,Krubice,197
Radunia,Goręczyno,194
Narew,Strękowa Góra,131
Wisła,Dęblin,111
Narew,Zambski Kościelne,140
Ropa,Ropa,172
Orzyc,Maków Mazowiecki,138
Guber,Prosna,136
Biebrza,Burzyn,199
Wisła,Karsy,97
Drwęca,Rodzone,192
Sąsiecznica,Kanclerzowice,197
Iłżanka,Kazanów,162
Wisła,Popędzynka,285
Parsęta,Tychówko,138
Kiełbaska,Kościelec,162
Warta,Poznań Most Rocha,146
Biała Nida,Mniszek,168
Witka,Ręczyn,162
Pilica,Sulejów,121
Wisła,Gromiec,186
Powa,Posoka,159
Skawinka,Radziszów,169
Koprzywianka,Koprzywnica,158
Warta,Wronki,134
